"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2009","20685","0.207","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2010","39764","0.185","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2011","23580","0.342","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2012","30363","0.373","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2013","51239","0.399","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2014","52989","0.248","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2015","52285","0.295","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2016","31993","0.27","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2017","21248","0.289","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2018","11705","0.42","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","2019","12790","0.39","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
